CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
THEFT/LARCENY,12/29/2017 08:45:00 AM,17-067577,THEFT,04X,1500 LAKESIDE DR,Oakland,CA,"1500 LAKESIDE DR
Oakland, CA
(37.802944, -122.261708)"
ASSAULT,12/24/2017 11:04:00 PM,17-066882,BATTERY,24Y,3100 EASTMAN AV,Oakland,CA,"3100 EASTMAN AV
Oakland, CA
(37.786338, -122.201054)"
THEFT/LARCENY,01/26/2018 12:00:00 PM,18-004657,THEFT,32X,10300 E ST,Oakland,CA,"10300 E ST
Oakland, CA
(37.737786, -122.173696)"
ASSAULT,12/25/2017 01:30:00 PM,17-066943,BATTERY,30X,1600 82ND AV,Oakland,CA,"1600 82ND AV
Oakland, CA
(37.756765, -122.177207)"
THEFT/LARCENY,11/13/2017 06:30:00 PM,17-059701,THEFT,33X,1200 84TH AV,Oakland,CA,"1200 84TH AV
Oakland, CA
(37.752563, -122.180932)"
DRUGS/ALCOHOL VIOLATIONS,12/08/2017 03:27:00 AM,17-063865,POSSESS CONTROLLED SUBSTANCE,05Y,1600 16TH ST,Oakland,CA,"1600 16TH ST
Oakland, CA
(37.812771, -122.292936)"
THEFT/LARCENY,01/12/2018 09:00:00 PM,18-002237,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,27Y,1900 55TH AV,Oakland,CA,"1900 55TH AV
Oakland, CA
(37.770111, -122.199432)"
DISTURBING THE PEACE,12/03/2017 02:25:00 PM,17-918974,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,,7000 E MACARTHUR BLVD BOULEV,Oakland,CA,"7000 E MACARTHUR BLVD BOULEV
Oakland, CA
"
THEFT/LARCENY,11/12/2017 07:30:00 AM,17-059556,THEFT,32X,9900 C ST,Oakland,CA,"9900 C ST
Oakland, CA
(37.741217, -122.173936)"
ASSAULT,11/13/2017 10:50:00 PM,17-059533,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,12Y,300 51ST ST,Oakland,CA,"300 51ST ST
Oakland, CA
(37.834903, -122.25289)"
MOTOR VEHICLE THEFT,11/23/2017 12:17:00 PM,17-061202,VEHICLE THEFT - AUTO,30Y,6900 BANCROFT AV,Oakland,CA,"6900 BANCROFT AV
Oakland, CA
(37.767875, -122.179165)"
THEFT/LARCENY,12/21/2017 11:00:00 PM,17-066484,BURGLARY-AUTO,21X,2500 GRANDE VISTA AV,Oakland,CA,"2500 GRANDE VISTA AV
Oakland, CA
(37.79092, -122.227238)"
THEFT/LARCENY,11/27/2017 11:00:00 PM,17-061840,THEFT,30X,1700 68TH AV,Oakland,CA,"1700 68TH AV
Oakland, CA
(37.763544, -122.188062)"
ROBBERY,01/26/2018 03:25:00 AM,18-004577,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3700 INTERNATIONAL BLVD,Oakland,CA,"3700 INTERNATIONAL BLVD
Oakland, CA
(37.774847, -122.220094)"
ROBBERY,11/14/2017 12:56:00 PM,17-059628,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10X,5800 SAN PABLO AV,Oakland,CA,"5800 SAN PABLO AV
Oakland, CA
(37.841013, -122.283016)"
THEFT/LARCENY,01/24/2018 10:00:00 PM,18-004671,BURGLARY-AUTO,25X,4300 ADELAIDE ST,Oakland,CA,"4300 ADELAIDE ST
Oakland, CA
(37.791991, -122.18594)"
BURGLARY,12/25/2017 12:00:00 AM,17-066915,BURGLARY-FORCIBLE ENTRY,13Z,2000 MOUNTAIN BLVD,Oakland,CA,"2000 MOUNTAIN BLVD
Oakland, CA
(37.827181, -122.209917)"
ASSAULT,12/23/2017 05:08:00 AM,17-066642,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,1400 SUNSHINE CT,Oakland,CA,"1400 SUNSHINE CT
Oakland, CA
(37.7585, -122.185502)"
ROBBERY,02/06/2018 05:32:00 PM,18-006714,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,200 9TH ST,Oakland,CA,"200 9TH ST
Oakland, CA
(37.798509, -122.267303)"
ASSAULT,01/15/2018 12:30:00 AM,18-002504,BATTERY,27Y,2100 57TH AV,Oakland,CA,"2100 57TH AV
Oakland, CA
(37.76981, -122.196374)"
ROBBERY,12/25/2017 09:50:00 AM,17-066919,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,3000 E 15TH ST,Oakland,CA,"3000 E 15TH ST
Oakland, CA
(37.779484, -122.227446)"
THEFT/LARCENY,01/20/2018 08:00:00 AM,18-003706,PETTY THEFT:$50-,05Y,1500 PERALTA ST,Oakland,CA,"1500 PERALTA ST
Oakland, CA
(37.812122, -122.293333)"
ASSAULT,01/14/2018 07:41:00 PM,18-002460,BATTERY W/SERIOUS BODILY INJURY,30Y,7700 NEY AV,Oakland,CA,"7700 NEY AV
Oakland, CA
(37.767755, -122.167809)"
THEFT/LARCENY,12/03/2017 07:00:00 PM,17-918942,BURGLARY-AUTO,12X,4000 SHAFTER AVE,Oakland,CA,"4000 SHAFTER AVE
Oakland, CA
(37.828568, -122.259733)"
MOTOR VEHICLE THEFT,11/28/2017 09:53:00 AM,17-061994,VEHICLE THEFT - AUTO,17X,1600 11TH AV,Oakland,CA,"1600 11TH AV
Oakland, CA
(37.792772, -122.246856)"
MOTOR VEHICLE THEFT,12/22/2017 01:34:00 AM,17-066454,VEHICLE THEFT - AUTO,29X,3000 SEMINARY AV,Oakland,CA,"3000 SEMINARY AV
Oakland, CA
(37.774611, -122.186277)"
BURGLARY,01/25/2018 08:00:00 AM,18-004559,BURGLARY-FORCIBLE ENTRY,11X,700 ALCATRAZ AV,Oakland,CA,"700 ALCATRAZ AV
Oakland, CA
(37.849493, -122.265732)"
ROBBERY,11/22/2017 05:15:00 PM,17-061084,ATTEMPTED ROBBERY-FIREARM,12Y,5300 CLAREMONT AV,Oakland,CA,"5300 CLAREMONT AV
Oakland, CA
(37.840011, -122.259873)"
MOTOR VEHICLE THEFT,01/06/2018 01:00:00 AM,18-000985,VEHICLE THEFT - AUTO,35X,2500 84TH AV,Oakland,CA,"2500 84TH AV
Oakland, CA
(37.761041, -122.164914)"
ASSAULT,01/25/2018 11:19:00 PM,18-004557,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,34X,9000 OLIVE ST,Oakland,CA,"9000 OLIVE ST
Oakland, CA
(37.752571, -122.167818)"
VANDALISM,11/18/2017 02:00:00 AM,17-918305,VANDALISM,21Y,3200 LAUREL AVE,Oakland,CA,"3200 LAUREL AVE
Oakland, CA
(37.792674, -122.207822)"
THEFT/LARCENY,12/27/2017 12:00:00 AM,17-067496,THEFT,22Y,4200 MAPLE AV,Oakland,CA,"4200 MAPLE AV
Oakland, CA
(37.80329, -122.198729)"
ASSAULT,01/06/2018 09:00:00 PM,18-001077,BATTERY,08X,300 34TH ST,Oakland,CA,"300 34TH ST
Oakland, CA
(37.82174, -122.260379)"
ASSAULT,01/13/2018 11:30:00 AM,18-002244,BATTERY,12Y,6300 COLLEGE AV,Oakland,CA,"6300 COLLEGE AV
Oakland, CA
(37.850346, -122.252379)"
VANDALISM,11/17/2017 06:00:00 PM,17-918336,VANDALISM,14X,200 GRAND AVE,Oakland,CA,"200 GRAND AVE
Oakland, CA
(37.810775, -122.26147)"
MOTOR VEHICLE THEFT,12/22/2017 07:19:00 AM,17-066515,VEHICLE THEFT - AUTO,26Y,1000 72ND AV,Oakland,CA,"1000 72ND AV
Oakland, CA
(37.756401, -122.192936)"
MOTOR VEHICLE THEFT,12/11/2017 08:43:00 AM,17-064346,VEHICLE THEFT - AUTO,23X,3900 SAN LEANDRO ST,Oakland,CA,"3900 SAN LEANDRO ST
Oakland, CA
(37.772266, -122.220601)"
DISTURBING THE PEACE,01/26/2018 06:29:00 PM,18-004686,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
THEFT/LARCENY,01/24/2018 08:30:00 PM,18-004342,BURGLARY-AUTO,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
ROBBERY,11/24/2017 06:55:00 AM,17-061311,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,1200 96TH AV,Oakland,CA,"1200 96TH AV
Oakland, CA
(37.744204, -122.174938)"
MOTOR VEHICLE THEFT,11/25/2017 09:00:00 PM,17-061726,VEHICLE THEFT - AUTO,01X,400 BLOCK OF 3RD ST,Oakland,CA,"400 BLOCK OF 3RD ST
Oakland, CA
(37.796218, -122.274569)"
THEFT/LARCENY,11/17/2017 11:05:00 PM,17-918330,BURGLARY-AUTO,,FRANKLIN ST,Oakland,CA,"FRANKLIN ST
Oakland, CA
"
ASSAULT,01/06/2018 12:11:00 PM,18-001013,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,1100 54TH ST,Oakland,CA,"1100 54TH ST
Oakland, CA
(37.837842, -122.282125)"
THEFT/LARCENY,11/17/2017 09:49:00 PM,17-918323,BURGLARY-AUTO,03X,300 10TH ST,Oakland,CA,"300 10TH ST
Oakland, CA
(37.800161, -122.269343)"
ASSAULT,01/12/2018 08:25:00 AM,18-002020,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,16Y,1000 ELBERT ST,Oakland,CA,"1000 ELBERT ST
Oakland, CA
(37.810557, -122.221596)"
ASSAULT,12/23/2017 08:00:00 PM,17-066727,BATTERY,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
MOTOR VEHICLE THEFT,01/03/2018 03:30:00 PM,18-000573,VEHICLE THEFT - AUTO,19X,1700 EMBARCADERO COVE,Oakland,CA,"1700 EMBARCADERO COVE
Oakland, CA
"
MOTOR VEHICLE THEFT,02/01/2018 12:00:00 AM,18-006690,VEHICLE THEFT - AUTO,26X,700 KEVIN CT,Oakland,CA,"700 KEVIN CT
Oakland, CA
(37.758163, -122.207188)"
SEX CRIMES,01/05/2018 12:57:00 AM,18-000760,LOITER:INTENT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA,"1400 20TH AV
Oakland, CA
(37.785811, -122.23999)"
THEFT/LARCENY,12/23/2017 07:30:00 PM,17-067488,GRAND THEFT,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
MOTOR VEHICLE THEFT,02/06/2018 11:50:00 AM,18-004383,VEHICLE THEFT - AUTO,30X,1600 SUNSHINE CT,Oakland,CA,"1600 SUNSHINE CT
Oakland, CA
(37.759691, -122.183583)"
THEFT/LARCENY,11/17/2017 07:30:00 PM,17-918293,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA,"500 17TH ST
Oakland, CA
(37.806915, -122.270726)"
ASSAULT,02/07/2018 05:50:00 PM,18-006943,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,23X,4000 FOOTHILL BLVD,Oakland,CA,"4000 FOOTHILL BLVD
Oakland, CA
(37.777639, -122.215139)"
MOTOR VEHICLE THEFT,11/23/2017 08:45:00 AM,17-061181,VEHICLE THEFT - AUTO,17Y,1300 E 32ND ST,Oakland,CA,"1300 E 32ND ST
Oakland, CA
(37.800528, -122.233776)"
ASSAULT,12/24/2017 02:35:00 PM,17-066831,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,11X,600 59TH ST,Oakland,CA,"600 59TH ST
Oakland, CA
(37.844531, -122.265073)"
VANDALISM,11/17/2017 05:30:00 PM,17-918316,VANDALISM,12Y,6200 COLBY ST,Oakland,CA,"6200 COLBY ST
Oakland, CA
(37.84869, -122.256713)"
MOTOR VEHICLE THEFT,11/21/2017 02:12:00 PM,17-060868,VEHICLE THEFT - AUTO,30X,1700 CHURCH ST,Oakland,CA,"1700 CHURCH ST
Oakland, CA
(37.763019, -122.187541)"
ASSAULT,11/13/2017 05:50:00 PM,17-059499,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,17X,700 E 18TH ST,Oakland,CA,"700 E 18TH ST
Oakland, CA
(37.796764, -122.248318)"
ASSAULT,01/15/2018 03:30:00 PM,18-002609,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18X,1800 E 20TH ST,Oakland,CA,"1800 E 20TH ST
Oakland, CA
(37.791263, -122.238149)"
THEFT/LARCENY,11/18/2017 01:10:00 AM,17-919029,GRAND THEFT,,00 WEBSTER ST,Oakland,CA,"00 WEBSTER ST
Oakland, CA
"
THEFT/LARCENY,11/26/2017 01:00:00 AM,17-061836,THEFT,26X,4400 E 12TH ST,Oakland,CA,"4400 E 12TH ST
Oakland, CA
(37.771149, -122.214841)"
THEFT/LARCENY,12/02/2017 11:00:00 PM,17-918940,BURGLARY-AUTO,13Y,6900 BUCKINGHAM BOULEVARD,Oakland,CA,"6900 BUCKINGHAM BOULEVARD
Oakland, CA
"
VANDALISM,01/24/2018 07:10:00 PM,18-004325,VANDALISM,32Y,2200 WARNER AV,Oakland,CA,"2200 WARNER AV
Oakland, CA
(37.747447, -122.160435)"
THEFT/LARCENY,12/01/2017 12:00:00 AM,17-918938,BURGLARY-AUTO,,300 22ND ST. ST,Oakland,CA,"300 22ND ST. ST
Oakland, CA
(37.810614, -122.26523)"
ASSAULT,12/24/2017 11:53:00 PM,17-066889,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,33X,1300 95TH AVE,Oakland,CA,"1300 95TH AVE
Oakland, CA
(37.745665, -122.17379)"
VANDALISM,12/22/2017 12:00:00 AM,17-066505,VANDALISM,08X,2300 NORTHGATE AV,Oakland,CA,"2300 NORTHGATE AV
Oakland, CA
(37.812987, -122.270985)"
ASSAULT,02/07/2018 02:00:00 AM,18-006775,EXHIBIT FIREARM,32Y,10900 MACARTHUR BLVD,Oakland,CA,"10900 MACARTHUR BLVD
Oakland, CA
(37.741083, -122.149135)"
ROBBERY,12/24/2017 08:41:00 PM,17-066860,ROBBERY-FIREARM,22X,3300 FRUITVALE AV,Oakland,CA,"3300 FRUITVALE AV
Oakland, CA
(37.798748, -122.216742)"
VANDALISM,11/28/2017 04:00:00 PM,17-062066,VANDALISM,04X,200 17TH ST,Oakland,CA,"200 17TH ST
Oakland, CA
(37.804776, -122.263844)"
THEFT/LARCENY,11/22/2017 10:00:00 PM,17-061166,BURGLARY-AUTO,26Y,800 69TH AV,Oakland,CA,"800 69TH AV
Oakland, CA
(37.755448, -122.198431)"
ASSAULT,01/12/2018 05:00:00 PM,18-002502,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30X,2300 77TH AV,Oakland,CA,"2300 77TH AV
Oakland, CA
(37.7629, -122.176375)"
ASSAULT,01/15/2018 06:43:00 PM,18-002635,BATTERY,06X,600 32ND ST,Oakland,CA,"600 32ND ST
Oakland, CA
(37.821432, -122.269897)"
ASSAULT,01/16/2018 01:14:00 PM,18-002780,BATTERY,30X,1500 69TH AV,Oakland,CA,"1500 69TH AV
Oakland, CA
(37.761386, -122.189364)"
ASSAULT,01/11/2018 10:45:00 AM,18-001836,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,30X,7200 LOCKWOOD ST,Oakland,CA,"7200 LOCKWOOD ST
Oakland, CA
(37.763636, -122.181649)"
ASSAULT,01/05/2018 11:00:00 PM,18-000999,BATTERY,27Y,5800 INTERNATIONAL BLVD,Oakland,CA,"5800 INTERNATIONAL BLVD
Oakland, CA
(37.765381, -122.200094)"
ASSAULT,02/05/2018 02:30:00 PM,18-006491,EXHIBIT FIREARM,10Y,600 46TH ST,Oakland,CA,"600 46TH ST
Oakland, CA
(37.834209, -122.266853)"
VANDALISM,11/22/2017 10:00:00 PM,17-061163,VANDALISM,27Y,5400 BANCROFT AV,Oakland,CA,"5400 BANCROFT AV
Oakland, CA
(37.771761, -122.200788)"
THEFT/LARCENY,12/21/2017 05:00:00 PM,18-900858,GRAND THEFT,07X,3400 SAN PABLO AVE,Oakland,CA,"3400 SAN PABLO AVE
Oakland, CA
(37.825396, -122.277983)"
VANDALISM,11/26/2017 09:00:00 PM,17-061958,"VANDALISM [$400 TO $5,000]",16Y,1300 CHATHAM RD,Oakland,CA,"1300 CHATHAM RD
Oakland, CA
(37.80463, -122.233267)"
THEFT/LARCENY,11/13/2017 01:26:00 PM,17-059489,THEFT,23X,1000 40TH AV,Oakland,CA,"1000 40TH AV
Oakland, CA
(37.772113, -122.219465)"
ASSAULT,11/27/2017 07:22:00 PM,17-061920,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,3000 PLEITNER AV,Oakland,CA,"3000 PLEITNER AV
Oakland, CA
(37.791922, -122.21289)"
THEFT/LARCENY,11/28/2017 06:00:00 PM,17-062105,THEFT,30X,1500 78TH AV,Oakland,CA,"1500 78TH AV
Oakland, CA
(37.758823, -122.181428)"
ROBBERY,11/24/2017 11:45:00 PM,17-061272,ROBBERY-FIREARM,21Y,2100 34TH AV,Oakland,CA,"2100 34TH AV
Oakland, CA
(37.784055, -122.21942)"
ASSAULT,11/27/2017 12:00:00 PM,17-061910,BATTERY,03X,600 OAK ST,Oakland,CA,"600 OAK ST
Oakland, CA
(37.795564, -122.266309)"
THEFT/LARCENY,01/25/2018 01:40:00 PM,18-004700,THEFT,12Y,400 CAVOUR ST,Oakland,CA,"400 CAVOUR ST
Oakland, CA
(37.837225, -122.255959)"
VANDALISM,11/17/2017 11:09:00 PM,17-918328,VANDALISM,03X,700 FRANKLIN ST,Oakland,CA,"700 FRANKLIN ST
Oakland, CA
(37.799263, -122.272826)"
VANDALISM,11/23/2017 04:39:00 PM,17-061226,VANDALISM-$400,04X,1800 HARRISON ST,Oakland,CA,"1800 HARRISON ST
Oakland, CA
(37.806045, -122.26565)"
MOTOR VEHICLE THEFT,11/23/2017 10:56:00 AM,17-061212,VEHICLE THEFT - AUTO,26X,700 KEVIN CT,Oakland,CA,"700 KEVIN CT
Oakland, CA
(37.758163, -122.207188)"
ASSAULT,01/27/2018 12:20:00 AM,18-004721,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,00 PEROLY CT,Oakland,CA,"00 PEROLY CT
Oakland, CA
"
VANDALISM,12/01/2017 08:00:00 PM,17-919010,VANDALISM,12X,400 45TH ST,Oakland,CA,"400 45TH ST
Oakland, CA
(37.833412, -122.258902)"
MOTOR VEHICLE THEFT,11/20/2017 07:38:00 AM,17-060614,VEHICLE THEFT - AUTO,26Y,800 70TH AV,Oakland,CA,"800 70TH AV
Oakland, CA
(37.755079, -122.197711)"
THEFT/LARCENY,12/04/2017 06:00:00 PM,17-919027,BURGLARY-AUTO,01X,100 CLAY ST,Oakland,CA,"100 CLAY ST
Oakland, CA
(37.796373, -122.279176)"
MOTOR VEHICLE THEFT,01/05/2018 05:15:00 PM,18-001015,VEHICLE THEFT - AUTO,21X,2800 E 23RD ST,Oakland,CA,"2800 E 23RD ST
Oakland, CA
(37.786307, -122.224038)"
MOTOR VEHICLE THEFT,12/09/2017 02:55:00 PM,17-064259,VEHICLE THEFT - AUTO,03X,600 OAK ST,Oakland,CA,"600 OAK ST
Oakland, CA
(37.795564, -122.266309)"
DISTURBING THE PEACE,02/03/2018 12:00:00 AM,18-006493,DISTURB THE PEACE,07X,800 ISABELLA ST,Oakland,CA,"800 ISABELLA ST
Oakland, CA
(37.81481, -122.275078)"
MOTOR VEHICLE THEFT,11/22/2017 03:30:00 PM,17-061058,VEHICLE THEFT - AUTO,32Y,10200 MACARTHUR BLVD,Oakland,CA,"10200 MACARTHUR BLVD
Oakland, CA
(37.744467, -122.154046)"
MOTOR VEHICLE THEFT,01/02/2018 09:00:00 AM,18-900866,ATTEMPT VEHICLE THEFT-AUTO,17Y,1300 E 32ND ST,Oakland,CA,"1300 E 32ND ST
Oakland, CA
(37.800528, -122.233776)"
VANDALISM,12/03/2017 05:50:00 PM,17-918975,VANDALISM,26X,700 KEVIN COURT,Oakland,CA,"700 KEVIN COURT
Oakland, CA
(37.758163, -122.207188)"
MOTOR VEHICLE THEFT,01/15/2018 11:57:00 AM,18-002566,VEHICLE THEFT - AUTO,32X,9800 SAN LEANDRO ST,Oakland,CA,"9800 SAN LEANDRO ST
Oakland, CA
(37.738984, -122.179481)"
MOTOR VEHICLE THEFT,02/07/2018 01:00:00 PM,18-006883,VEHICLE THEFT - AUTO,31X,600 BLK OF 105TH AVE,Oakland,CA,"600 BLK OF 105TH AVE
Oakland, CA
(37.733183, -122.178473)"
THEFT/LARCENY,11/17/2017 09:45:00 PM,17-918317,BURGLARY-AUTO,12X,4700 BLK TELEGRAPH AVE,Oakland,CA,"4700 BLK TELEGRAPH AVE
Oakland, CA
(37.834351, -122.263049)"
MOTOR VEHICLE THEFT,12/09/2017 11:00:00 AM,17-064345,VEHICLE THEFT - AUTO,17Y,2200 IVY DR,Oakland,CA,"2200 IVY DR
Oakland, CA
(37.801263, -122.245813)"
MOTOR VEHICLE THEFT,01/05/2018 03:30:00 PM,18-001024,VEHICLE THEFT - AUTO,08X,3900 RUBY ST,Oakland,CA,"3900 RUBY ST
Oakland, CA
(37.827748, -122.262282)"
ROBBERY,11/23/2017 02:00:00 PM,17-061209,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826131, -122.251347)"
DISTURBING THE PEACE,12/10/2017 10:15:00 AM,17-064351,OFFENSIVE WORDS IN PUBLIC PLACE,08X,3400 ANDOVER ST,Oakland,CA,"3400 ANDOVER ST
Oakland, CA
(37.82194, -122.264209)"
ASSAULT,01/27/2018 01:36:00 PM,18-004803,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,02X,800 FILBERT ST,Oakland,CA,"800 FILBERT ST
Oakland, CA
(37.805081, -122.284292)"
ROBBERY,11/13/2017 04:35:00 PM,17-059493,ATTEMPTED ROBBERY-STRONG-ARM,09X,3500 BROADWAY,Oakland,CA,"3500 BROADWAY
Oakland, CA
(37.822621, -122.259688)"
THEFT/LARCENY,01/05/2018 07:30:00 PM,18-000916,BURGLARY-AUTO,08X,2300 TELEGRAPH AV,Oakland,CA,"2300 TELEGRAPH AV
Oakland, CA
(37.812608, -122.268796)"
SEX CRIMES,01/05/2018 12:23:00 AM,18-000752,DISORDERLY CONDUCT:PROSTITUTION,19X,1700 INTERNATIONAL BLVD,Oakland,CA,"1700 INTERNATIONAL BLVD
Oakland, CA
(37.787527, -122.242832)"
BURGLARY,02/07/2018 12:00:00 AM,18-006771,BURGLARY-FORCIBLE ENTRY,20X,2900 INTERNATIONAL BLVD,Oakland,CA,"2900 INTERNATIONAL BLVD
Oakland, CA
(37.779165, -122.228779)"
MOTOR VEHICLE THEFT,12/10/2017 10:00:00 PM,17-064383,VEHICLE THEFT - AUTO,27X,5000 CONGRESS AV,Oakland,CA,"5000 CONGRESS AV
Oakland, CA
(37.776685, -122.202477)"
MOTOR VEHICLE THEFT,01/15/2018 12:00:00 AM,18-002630,VEHICLE THEFT - AUTO,27Y,5700 ELIZABETH ST,Oakland,CA,"5700 ELIZABETH ST
Oakland, CA
(37.770207, -122.195223)"
VANDALISM,11/13/2017 10:35:00 PM,17-917649,VANDALISM,,JACK LONDON SQUARE,Oakland,CA,"JACK LONDON SQUARE
Oakland, CA
"
THEFT/LARCENY,11/12/2017 02:00:00 PM,17-059241,BURGLARY-AUTO,29X,6500 MACARTHUR BLVD,Oakland,CA,"6500 MACARTHUR BLVD
Oakland, CA
(37.773101, -122.178628)"
THEFT/LARCENY,11/20/2017 07:30:00 AM,17-060955,BURGLARY-AUTO,24Y,3500 PENNIMAN AV,Oakland,CA,"3500 PENNIMAN AV
Oakland, CA
(37.789957, -122.206681)"
VANDALISM,12/11/2017 02:32:00 PM,17-064427,VANDALISM,02X,1000 8TH ST,Oakland,CA,"1000 8TH ST
Oakland, CA
(37.804078, -122.284485)"
ROBBERY,01/11/2018 10:11:00 AM,18-001832,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",18X,2000 16TH AV,Oakland,CA,"2000 16TH AV
Oakland, CA
(37.79267, -122.240071)"
ROBBERY,11/13/2017 03:00:00 AM,17-059402,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",24X,2100 38TH AV,Oakland,CA,"2100 38TH AV
Oakland, CA
(37.781197, -122.213618)"
WEAPONS,12/24/2017 03:10:00 AM,17-066771,CARRY CONCEALED WEAPON IN VEHICLE,23X,1500 33RD AV,Oakland,CA,"1500 33RD AV
Oakland, CA
(37.778604, -122.224089)"
SEX CRIMES,01/25/2018 07:25:00 AM,18-004380,LOITER:INTENT:PROSTITUTION,19X,1400 21ST AV,Oakland,CA,"1400 21ST AV
Oakland, CA
(37.785531, -122.238615)"
HOMICIDE,11/14/2017 11:42:00 AM,17-059617,MURDER:FIRST DEGREE,26Y,1000 71ST AV,Oakland,CA,"1000 71ST AV
Oakland, CA
(37.756819, -122.193636)"
FRAUD,11/20/2017 01:55:00 PM,17-919012,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,14Y,3700 GRAND AVE,Oakland,CA,"3700 GRAND AVE
Oakland, CA
(37.816496, -122.245445)"
THEFT/LARCENY,12/01/2017 11:25:00 AM,17-918956,THEFT,12X,500 40TH ST,Oakland,CA,"500 40TH ST
Oakland, CA
(37.82926, -122.264805)"
ASSAULT,12/25/2017 02:19:00 PM,17-066953,BATTERY,27Y,5400 WADEAN PL,Oakland,CA,"5400 WADEAN PL
Oakland, CA
(37.770297, -122.20372)"
THEFT/LARCENY,01/10/2018 09:55:00 AM,18-001718,GRAND THEFT,22Y,3700 MAPLE AV,Oakland,CA,"3700 MAPLE AV
Oakland, CA
(37.798655, -122.203708)"
BURGLARY,01/15/2018 01:00:00 PM,18-002651,BURGLARY-FORCIBLE ENTRY,20X,1500 27TH AV,Oakland,CA,"1500 27TH AV
Oakland, CA
(37.781654, -122.230624)"
BURGLARY,11/27/2017 10:30:00 AM,17-061977,BURGLARY-FORCIBLE ENTRY,35X,9300 GOLF LINKS RD,Oakland,CA,"9300 GOLF LINKS RD
Oakland, CA
(37.755922, -122.153579)"
ROBBERY,12/23/2017 06:05:00 PM,17-066717,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26X,900 53RD AV,Oakland,CA,"900 53RD AV
Oakland, CA
(37.765043, -122.209938)"
ASSAULT,11/24/2017 04:15:00 AM,17-061298,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,27Y,5400 INTERNATIONAL BLVD,Oakland,CA,"5400 INTERNATIONAL BLVD
Oakland, CA
(37.767914, -122.20551)"
ASSAULT,12/11/2017 12:15:00 PM,17-064406,ASSAULT,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.76693, -122.175377)"
THEFT/LARCENY,11/24/2017 06:00:00 PM,17-060840,BURGLARY-AUTO,03Y,800 WASHINGTON ST,Oakland,CA,"800 WASHINGTON ST
Oakland, CA
(37.80069, -122.275)"
ARSON,01/24/2018 03:15:00 AM,18-004192,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,25X,5600 MOUNTAIN BLVD,Oakland,CA,"5600 MOUNTAIN BLVD
Oakland, CA
"
THEFT/LARCENY,01/05/2018 08:00:00 PM,18-000743,ATTEMPTED BURGLARY-AUTO,18Y,2900 22ND AV,Oakland,CA,"2900 22ND AV
Oakland, CA
(37.795665, -122.227153)"
ASSAULT,12/24/2017 12:00:00 PM,17-066750,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,01X,600 EMBARCADERO WEST,Oakland,CA,"600 EMBARCADERO WEST
Oakland, CA
(37.796842, -122.280361)"
